idx,band,song,url,video_id,key,camelot,tempo_excerpt,energy_proxy,mode_score,acousticness_proxy,instrumentalness_proxy,bpm,energy,shape,eligible_band,energy_full,i_mean,i_std,i_max,i_min,i_start,i_end
0,afterglow,ON YOUR MARK,https://youtu.be/09B-WljIiTo,09B-WljIiTo,Amaj,11B,123.04688,-0.2597525174453358,0.28223,-0.9765062101423521,0.5337098548585665,123.0,0.822,neutral,True,0.250383,0.12054,0.72580,1.22611,-0.66669,-0.03037,0.07349
1,afterglow,That Is How I Roll!,https://youtu.be/_lfuqSepLNw,_lfuqSepLNw,Dmaj,10B,117.45384,-0.5358330246461609,0.07978,-1.5258919310477461,-0.8247750650786677,117.5,0.396,bright,True,0.934916,0.49796,0.82530,1.91718,-0.58242,0.85529,0.81895
2,afterglow,SENSENFUKOKU,https://youtu.be/RDZUbagvt0E,RDZUbagvt0E,Fmaj,7B,135.99918,-1.4635193061511385,0.02075,-0.6840287975734768,0.22750304806879162,136.0,0.159,neutral,True,0.731240,0.09921,0.80883,1.40000,-0.88091,0.01079,0.19293
3,afterglow,I knew it!,https://youtu.be/q-TEDPBUv7M,q-TEDPBUv7M,Amaj,11B,99.38401,-2.724910580120537,0.28963,0.24967766843448766,-1.717383690726882,99.4,0.7,acoustic,True,0.437213,0.02736,0.69909,1.04592,-0.79392,0.50725,0.00448
4,afterglow,ツナグ、ソラモヨウ,https://youtu.be/BnWyq8p7NzI,BnWyq8p7NzI,Emaj,12B,129.19922,-1.0497401528767318,0.2626,-0.2204182331186344,-0.1373565676916433,95.7,0.449,shimmer,True,0.455590,0.00049,0.79964,1.23416,-1.15989,-1.05496,0.34473
5,afterglow,Hey-day狂騒曲(カプリチオ),https://youtu.be/czHlLBls4oo,czHlLBls4oo,Dmin,7A,151.99908,-1.3281863389777713,-0.07085,-2.314427747350394,-0.3067489104992653,161.5,0.367,bright,True,0.933384,0.58697,0.95695,2.17963,-0.75530,-0.00205,0.82116
6,afterglow,"Easy come, Easy go!",https://youtu.be/erY4I7Irk0E,erY4I7Irk0E,Dmaj,10B,135.99918,-1.7418432966245931,0.38069,-0.09655733351558488,1.081030846211259,136.0,0.636,neutral,True,0.326953,0.00525,0.79209,1.19049,-0.94155,0.00678,0.30842
7,afterglow,Sasanqua,https://youtu.be/zB2aqNpT8ak,zB2aqNpT8ak,C#maj,3B,99.38401,-0.5839458840559861,0.37115,1.3922353238902436,-1.4828355902683223,99.4,0.413,acoustic,True,0.331547,-0.07625,0.79608,1.15622,-1.07530,-0.33508,0.54732
8,afterglow,RED RED RED,https://youtu.be/PEUtqZ_lQ4w,PEUtqZ_lQ4w,C#maj,3B,123.04688,-3.1189114978122303,0.09156,0.08171177915848529,-1.5219164177740692,123.0,0.184,neutral,True,0.593415,0.00616,0.82488,1.15589,-1.10780,-0.71584,0.12569
9,afterglow,ONE OF US,https://youtu.be/fwT9BgeiPNU,fwT9BgeiPNU,Gmin,6A,103.35938,-2.223051965220373,-0.30065,-2.1434765834387246,0.8334137129680638,103.4,0.058,neutral,True,0.945636,0.14195,0.78777,1.39900,-0.96957,0.07030,0.37255
